,name,stars,cuisine,retrieve-date
221,222. Akira Back,4.5 of 5 bubbles,"Japanese, Sushi",2021-08-09 19:16:24.105613-04:00
222,223. Speducci Mercatto,4.5 of 5 bubbles,"Italian, European",2021-08-09 19:16:24.105613-04:00
223,224. La Cubana,4.5 of 5 bubbles,"Latin, Cuban",2021-08-09 19:16:24.105613-04:00
224,225. The Good Son Restaurant,4.0 of 5 bubbles,Pizza,2021-08-09 19:16:24.105613-04:00
225,226. Hendriks Restaurant & Bar,4.0 of 5 bubbles,"American, Canadian",2021-08-09 19:16:24.105613-04:00
226,227. Woods,4.5 of 5 bubbles,Canadian,2021-08-09 19:16:24.105613-04:00
227,228. Buca,4.0 of 5 bubbles,Italian,2021-08-09 19:16:24.105613-04:00
228,229. Yuzu,4.0 of 5 bubbles,"Japanese, Sushi",2021-08-09 19:16:24.105613-04:00
229,230. Portico Restaurant and Bar,4.5 of 5 bubbles,"International, Contemporary",2021-08-09 19:16:24.105613-04:00
230,231. Golden Diner Family Restaurant,4.0 of 5 bubbles,"American, Diner",2021-08-09 19:16:24.105613-04:00
231,232. Kamasutra Indian Restaurant,4.5 of 5 bubbles,"Indian, Healthy",2021-08-09 19:16:24.106611-04:00
232,233. La Carnita,4.0 of 5 bubbles,"Mexican, Latin",2021-08-09 19:16:24.106611-04:00
233,234. O.Noir,4.0 of 5 bubbles,$$ - $$$,2021-08-09 19:16:24.106611-04:00
234,235. Farm'r Eatery & Catering,5.0 of 5 bubbles,"Cafe, Healthy",2021-08-09 19:16:24.106611-04:00
235,236. The Hogtown Vegan,4.0 of 5 bubbles,"American, Bar",2021-08-09 19:16:24.106611-04:00
236,237. Pazzia Osteria,5.0 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:24.106611-04:00
237,238. Pearl Harbourfront Chinese Restaurant,4.0 of 5 bubbles,"Chinese, Asian",2021-08-09 19:16:24.106611-04:00
238,239. Biagio Ristorante,4.5 of 5 bubbles,Italian,2021-08-09 19:16:24.106611-04:00
239,240. Pizzeria Defina,4.5 of 5 bubbles,"Italian, Pizza",2021-08-09 19:16:24.106611-04:00
240,241. The Chefs' House- George Brown College,4.5 of 5 bubbles,Canadian,2021-08-09 19:16:30.184389-04:00
241,242. Mandarin Restaurant,4.0 of 5 bubbles,"Chinese, Sushi",2021-08-09 19:16:30.184389-04:00
242,243. The Wren,4.5 of 5 bubbles,"Bar, Canadian",2021-08-09 19:16:30.184389-04:00
243,244. 12 Tables,4.5 of 5 bubbles,European,2021-08-09 19:16:30.184389-04:00
244,245. Fune,4.0 of 5 bubbles,"Japanese, Sushi",2021-08-09 19:16:30.184389-04:00
245,246. Ago Bistro,4.0 of 5 bubbles,"Canadian, Contemporary",2021-08-09 19:16:30.184389-04:00
246,247. Drake One Fifty,4.0 of 5 bubbles,Canadian,2021-08-09 19:16:30.184389-04:00
